sample_wgts	HHID_79	nonmissing	LogWage	yearborn	black	AFQTStd	EarlyIQStd
575362	3404	0	7.529169	64	0	1.346364	
511678	3416	0	6.641046	63	0	-.3295318	
538282	3423	0	7.314116	64	0	.9647194	
483253	3428	0	7.717226	63	0	2.436729	
493168	3453	0	6.874699	64	0	-.4202869	
493168	3459	0	6.836806	64	0	-.6425515	
408798	3461	0	7.475686	62	0	-.1508147	
465994	3461	0	6.983564	63	0	.0351115	
493168	3464	0	7.258893	64	0	.9647194	
408798	3470	0	7.078494	62	0	-.7553425	
408798	3472	0	8.045866	62	0	-.3342417	
408798	3472	0	7.85042	62	0	-.9433792	
493168	3478	0	7.517381	64	0	-.2014784	
578797	3482	0	6.852634	64	0	-1.123885	
479779	3489	0	7.153599	62	0	-.049355	
507254	3492	0	7.318072	63	0	.210815	
493769	3505	0	7.397392	62	0	.5469291	
552288	3516	0	7.054215	63	0	-.6618119	
519711	3518	0	7.156931	63	0	-.221472	
144403	3539	0	6.647383	63	1	-1.116147	
143483	3541	0	6.619152	62	1	-1.503695	
433593	3553	0	7.115472	62	0	.6638917	
523080	3561	1	7.002118	64	0	-1.39878	-.3535051
487695	3567	0	7.007337	63	0	-.8840766	
127503	3570	0	6.868341	63	0	-1.01601	
543701	3582	0	7.5007	63	0	2.436729	
428062	3591	0	7.301742	62	0	.202048	
487953	3591	0	6.701849	63	0	.2613505	
516407	3594	0	7.051756	64	0	-.0065525	
428062	3602	0	6.890122	62	0	-.5922667	
438157	3610	0	6.618622	62	0	-.2807746	
410773	3615	0	6.762019	62	0	.7573813	
468245	3616	0	6.882324	63	0	1.285368	
410773	3623	0	7.261319	62	0	1.695932	
417209	3632	1	6.442373	62	0	-1.503695	1.892451
503315	3632	0	6.775618	64	0	-.9296452	
503315	3639	0	6.421744	64	0	-1.39878	
417209	3656	0	6.695287	62	0	-.2022684	
131587	3657	0	6.381001	64	0	-1.528887	
417209	3670	0	8.03511	62	0	2.377427	
503315	3673	0	7.027298	64	0	.3769752	
475582	3680	1	7.132039	63	0	1.104839	.4937507
657835	3693	0	7.420952	62	0	-.5317628	
140318	3695	0	6.573868	62	1	-.2022684	
